txhash,website,chain
0x619c44af9fedb8f5feea2dcae1da94b6d7e5e0e7f4f4a99352b6c4f5e43a4661,https://basescan.org/tx/0x619c44af9fedb8f5feea2dcae1da94b6d7e5e0e7f4f4a99352b6c4f5e43a4661,base
0xa618933a0e0ffd0b9f4f0835cc94e523d0941032821692c01aa96cd6f80fc3fd,https://app.blocksec.com/explorer/security-incidents,base
0xa618933a0e0ffd0b9f4f0835cc94e523d0941032821692c01aa96cd6f80fc3fd,https://app.blocksec.com/explorer/tx/base/0xa618933a0e0ffd0b9f4f0835cc94e523d0941032821692c01aa96cd6f80fc3fd,base
0xbb837d417b76dd237b4418e1695a50941a69259a1c4dee561ea57d982b9f10ec,https://x.com/MetaTrustAlert/status/1686227715538726912,base
0xbb837d417b76dd237b4418e1695a50941a69259a1c4dee561ea57d982b9f10ec,https://basescan.org/tx/0xbb837d417b76dd237b4418e1695a50941a69259a1c4dee561ea57d982b9f10ec,base
0xe63a8df8759f41937432cd34c590d85af61b3343cf438796c6ed2c8f5b906f62,https://app.blocksec.com/explorer/security-incidents,base
0xe63a8df8759f41937432cd34c590d85af61b3343cf438796c6ed2c8f5b906f62,https://basescan.org/tx/0xe63a8df8759f41937432cd34c590d85af61b3343cf438796c6ed2c8f5b906f62,base
0xf0c2ed12a446713d6e38e7a4f0e05d45360ee9305b7d6e0b796fc44f848f6052,https://app.blocksec.com/explorer/security-incidents,base
0xfbf6b17a9de7f9e1e97eb48dc68a993f7663d4b9530a3cd6cc262e554549e59d,https://app.blocksec.com/explorer/security-incidents,base
0x49a3038622bf6dc3672b1b7366382a2c513d713e06cb7c91ebb8e256ee300dfb,https://x.com/ImmuneBytes/status/1661310575878582275,bnb
0x96fcd4a61fa270f0e1608b0b88b6dbc0a91b8da9f7f34de36d3495ad4102c397,https://x.com/ImmuneBytes/status/1671505668275073026,bnb
0xa21692ffb561767a74a4cbd1b78ad48151d710efab723b1efa5f1e0147caab0a,https://x.com/ImmuneBytes/status/1649000172574195713,bnb
0xa21692ffb561767a74a4cbd1b78ad48151d710efab723b1efa5f1e0147caab0a,https://x.com/ImmuneBytes/status/1648646926898790401,bnb
0xa3c130ed8348919f73cbefce0f22d46fa381c8def93654e391ddc95553240c1e,https://x.com/ImmuneBytes/status/1669647585546493953,bnb
0xbaf3e4841614eca5480c63662b41cd058ee5c85dc69198b29e7ab63b84bc866c,https://x.com/ImmuneBytes/status/1671781789285732353,bnb
0xd92bf51b9bf464420e1261cfcd8b291ee05d5fbffbfbb316ec95131779f80809,https://x.com/ImmuneBytes/status/1664239583729528837,bnb
0xff5515268d53df41d407036f547b206e288b226989da496fda367bfeb31c5b8b,https://x.com/ImmuneBytes/status/1666387683558432768,bnb
0x03d363462519029cf9a544d44046cad0c7e64c5fb1f2adf5dd5438a9a0d2ec8e,https://bscscan.com/tx/0x03d363462519029cf9a544d44046cad0c7e64c5fb1f2adf5dd5438a9a0d2ec8e,bsc
0x03d363462519029cf9a544d44046cad0c7e64c5fb1f2adf5dd5438a9a0d2ec8e,https://x.com/BeosinAlert/status/1589501207181393920,bsc
0x042b8dc879fa193acc79f55a02c08f276eaf1c4f7c66a33811fce2a4507cea63,https://bscscan.com/tx/0x042b8dc879fa193acc79f55a02c08f276eaf1c4f7c66a33811fce2a4507cea63,bsc
0x042b8dc879fa193acc79f55a02c08f276eaf1c4f7c66a33811fce2a4507cea63,https://phalcon.blocksec.com/tx/bsc/0x042b8dc879fa193acc79f55a02c08f276eaf1c4f7c66a33811fce2a4507cea63,bsc
0x0434bf08a63d70b84fad033d38d8b645498016b3931af4d13f6c11e86848876b,https://app.blocksec.com/explorer/security-incidents,bsc
0x04c2c81dbd17a17b5eb50ec72678071328a61afe2cf07350cbca9a14a978fba6,https://x.com/MetaTrustAlert/status/1646056515999244288,bsc
0x051276afa96f2a2bd2ac224339793d82f6076f76ffa8d1b9e6febd49a4ec11b2,https://bscscan.com/tx/0x051276afa96f2a2bd2ac224339793d82f6076f76ffa8d1b9e6febd49a4ec11b2,bsc
0x05eabbb665a5b99490510d0b3f93565f394914294ab4d609895e525b43ff16f2,https://bscscan.com/tx/0x05eabbb665a5b99490510d0b3f93565f394914294ab4d609895e525b43ff16f2,bsc
0x06bbe093d9b84783b8ca92abab5eb8590cb2321285660f9b2a529d665d3f18e4,https://bscscan.com/tx/0x06bbe093d9b84783b8ca92abab5eb8590cb2321285660f9b2a529d665d3f18e4,bsc
0x098e7394a1733320e0887f0de22b18f5c71ee18d48a0f6d30c76890fb5c85375,https://bscscan.com/tx/0x098e7394a1733320e0887f0de22b18f5c71ee18d48a0f6d30c76890fb5c85375,bsc
